site_id,event_id,gmv_PGA,Longitude,Latitude
0,0,0.674453,107.31398,-6.933
1,0,0.678937,107.31398,-6.95099
2,0,0.683152,107.31398,-6.96897
3,0,0.687094,107.31398,-6.98696
4,0,0.690749,107.31398,-7.00495
5,0,0.69411,107.31398,-7.02293
6,0,0.69717,107.31398,-7.04092
7,0,0.69992,107.31398,-7.0589
8,0,0.702356,107.31398,-7.07689
9,0,0.00989984,107.31398,-7.09488
10,0,0.00992716,107.31398,-7.11286
11,0,0.00994941,107.31398,-7.13085
12,0,0.00996649,107.31398,-7.14884
13,0,0.709614,107.31398,-7.16682
14,0,0.71006,107.31399,-7.18481
15,0,0.710161,107.31399,-7.2028
16,0,0.709921,107.31399,-7.22078
17,0,0.709339,107.31399,-7.23877
18,0,0.708419,107.31399,-7.25676
19,0,0.707162,107.31399,-7.27474
20,0,0.705571,107.31399,-7.29273
21,0,0.703651,107.31399,-7.31071
22,0,0.701406,107.31399,-7.3287
23,0,0.698842,107.31399,-7.34669
24,0,0.696126,107.31399,-7.36467
25,0,0.693363,107.31399,-7.38266
26,0,0.690558,107.31399,-7.40065
27,0,0.687713,107.31399,-7.41863
28,0,0.684765,107.314,-7.43662
29,0,0.681531,107.314,-7.45461
30,0,0.678011,107.314,-7.47259
31,0,0.674209,107.314,-7.49058
32,0,0.670137,107.314,-7.50857
33,0,0.665806,107.314,-7.52655
34,0,0.661221,107.314,-7.54454
35,0,0.679249,107.33209,-6.933
36,0,0.683796,107.3321,-6.95099
37,0,0.688067,107.3321,-6.96897
38,0,0.692061,107.3321,-6.98696
39,0,0.695766,107.3321,-7.00495
40,0,0.699171,107.3321,-7.02293
41,0,0.702273,107.3321,-7.04092
42,0,0.70506,107.3321,-7.0589
43,0,0.707531,107.33211,-7.07689
44,0,0.709673,107.33211,-7.09488
45,0,0.0100081,107.33211,-7.11286
46,0,0.0100307,107.33211,-7.13085
47,0,0.010048,107.33211,-7.14884
48,0,0.714886,107.33211,-7.16682
49,0,0.715334,107.33211,-7.18481
50,0,0.71544,107.33212,-7.2028
51,0,0.715196,107.33212,-7.22078
52,0,0.714607,107.33212,-7.23877
53,0,0.713674,107.33212,-7.25676
54,0,0.712401,107.33212,-7.27474
55,0,0.710788,107.33212,-7.29273
56,0,0.708843,107.33212,-7.31071
57,0,0.70657,107.33213,-7.3287
58,0,0.704022,107.33213,-7.34669
59,0,0.701406,107.33213,-7.36467
60,0,0.698743,107.33213,-7.38266
61,0,0.696034,107.33213,-7.40065
62,0,0.693277,107.33213,-7.41863
63,0,0.690295,107.33213,-7.43662
64,0,0.687017,107.33214,-7.45461
65,0,0.683446,107.33214,-7.47259
66,0,0.679591,107.33214,-7.49058
67,0,0.675461,107.33214,-7.50857
68,0,0.671069,107.33214,-7.52655
69,0,0.666419,107.33214,-7.54454
70,0,0.683779,107.35021,-6.933
71,0,0.688386,107.35022,-6.95099
72,0,0.692713,107.35022,-6.96897
73,0,0.696758,107.35022,-6.98696
74,0,0.700511,107.35022,-7.00495
75,0,0.70396,107.35022,-7.02293
76,0,0.707104,107.35023,-7.04092
77,0,0.709926,107.35023,-7.0589
78,0,0.712426,107.35023,-7.07689
79,0,0.714596,107.35023,-7.09488
80,0,0.0100848,107.35023,-7.11286
81,0,0.0101077,107.35024,-7.13085
82,0,0.0101253,107.35024,-7.14884
83,0,0.0101375,107.35024,-7.16682
84,0,0.720332,107.35024,-7.18481
85,0,0.720438,107.35025,-7.2028
86,0,0.720192,107.35025,-7.22078
87,0,0.719595,107.35025,-7.23877
88,0,0.718651,107.35025,-7.25676
89,0,0.717361,107.35025,-7.27474
90,0,0.715731,107.35026,-7.29273
91,0,0.713761,107.35026,-7.31071
92,0,0.711459,107.35026,-7.3287
93,0,0.708998,107.35026,-7.34669
94,0,0.706488,107.35026,-7.36467
95,0,0.703931,107.35027,-7.38266
96,0,0.701323,107.35027,-7.40065
97,0,0.698601,107.35027,-7.41863
98,0,0.695579,107.35027,-7.43662
99,0,0.692255,107.35028,-7.45461
100,0,0.688636,107.35028,-7.47259
101,0,0.684728,107.35028,-7.49058
102,0,0.680543,107.35028,-7.50857
103,0,0.676092,107.35028,-7.52655
104,0,0.671384,107.35029,-7.54454
105,0,0.688025,107.36833,-6.933
106,0,0.692691,107.36834,-6.95099
107,0,0.697073,107.36834,-6.96897
108,0,0.70117,107.36834,-6.98696
109,0,0.70497,107.36834,-7.00495
110,0,0.708464,107.36835,-7.02293
111,0,0.711644,107.36835,-7.04092
112,0,0.714502,107.36835,-7.0589
113,0,0.717033,107.36835,-7.07689
114,0,0.719232,107.36836,-7.09488
115,0,0.721087,107.36836,-7.11286
116,0,0.0101804,107.36836,-7.13085
117,0,0.0101982,107.36837,-7.14884
118,0,0.0102106,107.36837,-7.16682
119,0,0.725038,107.36837,-7.18481
120,0,0.725143,107.36837,-7.2028
121,0,0.724896,107.36838,-7.22078
122,0,0.724292,107.36838,-7.23877
123,0,0.723337,107.36838,-7.25676
124,0,0.722034,107.36839,-7.27474
125,0,0.720382,107.36839,-7.29273
126,0,0.718389,107.36839,-7.31071
127,0,0.716116,107.3684,-7.3287
128,0,0.713767,107.3684,-7.34669
129,0,0.711367,107.3684,-7.36467
130,0,0.708915,107.3684,-7.38266
131,0,0.706409,107.36841,-7.40065
132,0,0.703663,107.36841,-7.41863
133,0,0.700601,107.36841,-7.43662
134,0,0.697235,107.36842,-7.45461
135,0,0.693569,107.36842,-7.47259
136,0,0.689611,107.36842,-7.49058
137,0,0.685373,107.36842,-7.50857
138,0,0.680868,107.36843,-7.52655
139,0,0.676098,107.36843,-7.54454
140,0,0.691968,107.38645,-6.933
141,0,0.696692,107.38645,-6.95099
142,0,0.701132,107.38646,-6.96897
143,0,0.705281,107.38646,-6.98696
144,0,0.70913,107.38647,-7.00495
145,0,0.712665,107.38647,-7.02293
146,0,0.715884,107.38647,-7.04092
147,0,0.718779,107.38648,-7.0589
148,0,0.72134,107.38648,-7.07689
149,0,0.723562,107.38648,-7.09488
150,0,0.725442,107.38649,-7.11286
151,0,0.0102485,107.38649,-7.13085
152,0,0.0102665,107.38649,-7.14884
153,0,0.010279,107.3865,-7.16682
154,0,0.729439,107.3865,-7.18481
155,0,0.729546,107.3865,-7.2028
156,0,0.729296,107.38651,-7.22078
157,0,0.728687,107.38651,-7.23877
158,0,0.727723,107.38652,-7.25676
159,0,0.726404,107.38652,-7.27474
160,0,0.724734,107.38652,-7.29273
161,0,0.722724,107.38653,-7.31071
162,0,0.720548,107.38653,-7.3287
163,0,0.718316,107.38653,-7.34669
164,0,0.716033,107.38654,-7.36467
165,0,0.713694,107.38654,-7.38266
166,0,0.711228,107.38654,-7.40065
167,0,0.708451,107.38655,-7.41863
168,0,0.705351,107.38655,-7.43662
169,0,0.701944,107.38656,-7.45461
170,0,0.698233,107.38656,-7.47259
171,0,0.694228,107.38656,-7.49058
172,0,0.689941,107.38657,-7.50857
173,0,0.685381,107.38657,-7.52655
174,0,0.680555,107.38657,-7.54454
175,0,0.695588,107.40457,-6.933
176,0,0.700374,107.40457,-6.95099
177,0,0.704872,107.40458,-6.96897
178,0,0.709074,107.40458,-6.98696
179,0,0.712972,107.40459,-7.00495
180,0,0.716551,107.40459,-7.02293
181,0,0.719811,107.4046,-7.04092
182,0,0.722738,107.4046,-7.0589
183,0,0.725329,107.4046,-7.07689
184,0,0.72758,107.40461,-7.09488
185,0,0.729479,107.40461,-7.11286
186,0,0.731029,107.40462,-7.13085
187,0,0.732221,107.40462,-7.14884
188,0,0.733055,107.40463,-7.16682
189,0,0.733526,107.40463,-7.18481
190,0,0.733634,107.40463,-7.2028
191,0,0.733382,107.40464,-7.22078
192,0,0.732767,107.40464,-7.23877
193,0,0.731793,107.40465,-7.25676
194,0,0.730461,107.40465,-7.27474
195,0,0.728777,107.40466,-7.29273
196,0,0.726802,107.40466,-7.31071
197,0,0.724748,107.40466,-7.3287
198,0,0.72264,107.40467,-7.34669
199,0,0.720474,107.40467,-7.36467
200,0,0.718246,107.40468,-7.38266
201,0,0.715762,107.40468,-7.40065
202,0,0.712952,107.40469,-7.41863
203,0,0.709817,107.40469,-7.43662
204,0,0.706371,107.4047,-7.45461
205,0,0.702619,107.4047,-7.47259
